day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes
-1.6727957877686686,-1.3501675081840732,0.0,-0.8706546931179822,-0.34067322503391245,0.8932768965850293,-0.38165690597236956,-0.8479270196499679,-0.9121201723424198,-0.8794014391831437,-0.8303557302688325,-0.9360115455044519,-0.8801586304586865,1
-1.5594728503759205,-1.3501675081840732,0.0,-0.8706546931179822,-0.07035944974169782,-0.8888765177841181,0.26864199692229906,-0.9387086049232766,-0.8555202740075863,-0.8794014391831437,-0.9027202643233427,-0.9007980816764884,-0.8936262047425136,1
-1.4461499129831727,-1.3501675081840732,0.0,-1.6992542639835284,1.348787870542429,2.318999628080347,6.171355115504675,-2.146802008945003,-0.9848914702014915,-0.8899128337724415,-1.0715708437838667,-0.9853103948636008,-0.9340289275939956,1
-1.332826975590425,-1.3501675081840732,0.0,-1.9754541209387104,1.8218369773038048,-0.8888765177841181,0.8689179072866086,-3.438693799372861,-1.0819198673469204,-0.8941173916081605,-1.143935377838377,-1.055737322519528,-0.9474965018778227,1
-1.2195040381976772,-1.3501675081840732,0.0,-1.4230544070283464,1.0108956514271608,0.18041553083737033,-0.38165690597236956,-0.9107758094545668,-0.9444629713908962,-0.7406510306044145,-0.8544772416203358,-0.9007980816764884,-0.8801586304586865,1
-1.1061811008049294,-1.3501675081840732,0.0,-0.31825497920761797,0.3351112131966241,-0.5324458349102886,-0.38165690597236956,0.3322335889030474,-0.7180633780515623,-0.5724687171756515,-0.39616852594177054,-0.6824746059431148,-0.6108071447821412,0
-0.9928581634121815,-1.3501675081840732,0.0,0.2341447347027462,-0.5434085565030734,-0.8888765177841181,-0.38165690597236956,0.7232927254649941,-0.3865496878046802,-0.39797956699331005,0.3998413486578428,-0.4078095880849995,0.022168846557740252,0
-0.8795352260194337,-1.3501675081840732,0.0,-0.5944548361628,0.7405818761349461,-0.17601515203645915,-0.38165690597236956,0.6115615435901518,-0.2086642930380607,-0.23400181140026632,0.2068692578458152,-0.22469957617958936,0.008701272273912916,0
-0.7662122886266859,-1.3501675081840732,0.0,-1.9754541209387104,1.754258533480751,-0.8888765177841181,-0.2816109209116513,-1.7417764746487021,-0.5482636830470616,-0.22349041681096862,-1.0474493324323633,-0.4359803591473703,-0.907093779026341,1
-0.652889351233938,-1.3501675081840732,0.0,-1.1468545500731642,1.146052539073268,-1.2453072006579475,-0.38165690597236956,-0.32418710461164724,-0.4188924868531565,-0.06581949797150344,-0.8303557302688325,-0.2880838110699237,-0.8262883333233774,1
-0.5395664138411902,-1.3501675081840732,0.0,-0.31825497920761797,0.19995432555051681,-0.5324458349102886,-0.38165690597236956,0.4649143673794224,-0.17632149398958438,0.10236281545725943,-0.17907492377823966,-0.06271764257095724,-0.19331234198349603,0
-0.4262434764484424,-1.3501675081840732,0.0,-1.6992542639835284,1.2812094267193754,1.2497075794588588,-0.38165690597236956,0.42999837304353433,-0.0712073970820364,0.2516246186252865,0.013897167033787763,0.07109351997530394,0.008701272273912916,0
-0.31292053905569456,-1.3501675081840732,0.0,-1.4230544070283464,1.4839447581885363,1.9625689452065178,0.2186190043919399,-1.9442892417968527,-0.6452920801924905,-0.6817872209043474,-1.0233278210808598,-0.7036026842398929,-0.9205613533101682,1
-0.19959760166294674,-1.3501675081840732,0.0,-0.5944548361628,1.0784740952502143,1.6061382623326883,-0.13154194332057392,-1.315801343750868,-0.815091775196991,-0.8751968813474248,-0.9027202643233427,-0.8655846178485249,-0.8936262047425136,1
-0.0862746642701989,-1.3501675081840732,0.0,-1.1468545500731642,1.2136309828963217,0.5368462137111998,1.1690558624687633,-1.9861884349999184,-0.9444629713908962,-0.8836059970188629,-1.0474493324323633,-0.9641823165668227,-0.9340289275939956,1
0.027048273122548917,-1.3501675081840732,0.0,-0.8706546931179822,1.8218369773038048,-0.8888765177841181,-0.031495958259855704,-2.9149538843345404,-1.0495770682984442,-0.8794014391831437,-1.143935377838377,-1.0205238586915644,-0.9474965018778227,1
0.14037121051529675,-1.3501675081840732,0.0,-0.5944548361628,1.8218369773038048,0.18041553083737033,-0.08151895079021482,-2.831155497928409,-1.0980912668711584,-0.8751968813474248,-1.143935377838377,-1.0627800152851206,-0.9474965018778227,1
0.25369414790804456,-1.3501675081840732,0.0,-0.31825497920761797,1.0784740952502143,-0.5324458349102886,-0.2315879283812922,-1.4624485199615977,-1.033405668774206,-0.8709923235117056,-0.9750847983778529,-1.0064384731603788,-0.9205613533101682,1
0.3670170853007924,-1.3501675081840732,0.0,-0.31825497920761797,-0.4758301126800198,0.18041553083737033,-0.33163391344201043,0.14368721948925275,-0.8231774749591101,-0.7028100100829427,-0.5408975940507912,-0.8022003829581906,-0.758950461904241,1
0.4803400226935402,-1.3501675081840732,0.0,-0.5944548361628,1.2136309828963217,0.18041553083737033,-0.18156493585093303,-1.2599357528134472,-0.9121201723424198,-0.46945705020053424,-0.9268417756748462,-0.8162857684893761,-0.8936262047425136,1
0.593662960086288,-1.3501675081840732,0.0,-0.5944548361628,1.0784740952502143,-0.5324458349102886,-0.38165690597236956,0.22050240702820606,-0.6776348792409669,-0.3748544988968551,-0.5167760826992878,-0.583876907224817,-0.651209867633623,0
0.7069858974790358,-1.3501675081840732,0.0,-0.31825497920761797,0.3351112131966241,0.5368462137111998,-0.33163391344201043,0.0878216285518311,-0.6210349809061333,-0.20877446438595182,-0.5650191054022946,-0.49232190127211195,-0.6377422933497957,1
0.8203088348717837,-1.3501675081840732,0.0,-0.04205512225243589,-0.002781005918644156,0.8932768965850293,-0.33163391344201043,0.2484352024969169,-0.5240065837607045,-0.03638759312146982,-0.34792550323876376,-0.3655534314914433,-0.4357286790923868,0
0.9336317722645315,-1.3501675081840732,0.0,-0.04205512225243589,0.2675327693735705,0.5368462137111998,-0.38165690597236956,0.5626791515199093,-0.2814355908971324,0.13389699922515247,0.2068692578458152,-0.12610187746129156,0.06257156940922202,0
1.0469547096572793,-1.3501675081840732,0.0,-0.31825497920761797,0.13237588172746317,-0.17601515203645915,-0.38165690597236956,0.6185447424573299,-0.03886459803356022,0.30207931265391536,0.23099076919731876,0.11334967656886023,0.18377973796366745,0
